Fund ID,Effective Date,NAV,Income,Capital Gain,Total Distribution,Reinvestment Price
49337,2021-08-27,10.699,,,,
49337,2021-08-26,10.6488,,,,
49337,2021-08-25,10.6539,,,,
49337,2021-08-24,10.6315,,,,
49337,2021-08-23,10.6132,,,,
49337,2021-08-20,10.6239,,,,
49337,2021-08-19,10.571,,,,
49337,2021-08-18,10.5212,,,,
49337,2021-08-17,10.5579,,,,
49337,2021-08-16,10.6106,0.0495,,0.0495,10.596
49337,2021-08-13,10.6455,,,,
49337,2021-08-12,10.632,,,,
49337,2021-08-11,10.63,,,,
49337,2021-08-10,10.6079,,,,
49337,2021-08-09,10.6192,,,,
49337,2021-08-06,10.6194,,,,
49337,2021-08-05,10.5891,,,,
49337,2021-08-04,10.5736,,,,
49337,2021-08-03,10.5903,,,,
49337,2021-08-02,10.4825,,,,
49337,2021-07-30,10.4825,,,,
49337,2021-07-29,10.5143,,,,
49337,2021-07-28,10.4964,,,,
49337,2021-07-27,10.4899,,,,
49337,2021-07-26,10.5068,,,,
49337,2021-07-23,10.5384,,,,
49337,2021-07-22,10.4841,,,,
49337,2021-07-21,10.4736,,,,
49337,2021-07-20,10.4504,,,,
49337,2021-07-19,10.3788,,,,
49337,2021-07-16,10.4536,0.0495,,0.0495,10.5332
49337,2021-07-15,10.5827,,,,
49337,2021-07-14,10.5467,,,,
49337,2021-07-13,10.5584,,,,
49337,2021-07-12,10.5434,,,,
49337,2021-07-09,10.5153,,,,
49337,2021-07-08,10.4451,,,,
49337,2021-07-07,10.5321,,,,
49337,2021-07-06,10.5029,,,,
49337,2021-07-05,10.4538,,,,
49337,2021-07-02,10.4421,,,,
49337,2021-07-01,10.4226,,,,
49337,2021-06-30,10.4226,,,,
49337,2021-06-29,10.4356,,,,
49337,2021-06-28,10.4089,,,,
49337,2021-06-25,10.3968,,,,
49337,2021-06-24,10.3786,,,,
49337,2021-06-23,10.3112,,,,
49337,2021-06-22,10.3268,,,,
49337,2021-06-21,10.3323,,,,
49337,2021-06-18,10.2722,,,,
49337,2021-06-17,10.3458,,,,
49337,2021-06-16,10.3312,0.0495,,0.0495,10.3421
49337,2021-06-15,10.3916,,,,
49337,2021-06-14,10.3745,,,,
49337,2021-06-11,10.3761,,,,
49337,2021-06-10,10.3137,,,,
49337,2021-06-09,10.2882,,,,
49337,2021-06-08,10.3221,,,,
49337,2021-06-07,10.2984,,,,
49337,2021-06-04,10.2991,,,,
49337,2021-06-03,10.2425,,,,
49337,2021-06-02,10.2405,,,,
49337,2021-06-01,10.254,,,,
49337,2021-05-31,10.1852,,,,
49337,2021-05-28,10.2142,,,,
49337,2021-05-27,10.1802,,,,
49337,2021-05-26,10.1896,,,,
49337,2021-05-25,10.116,,,,
49337,2021-05-24,10.0468,,,,
49337,2021-05-21,10.0468,,,,
49337,2021-05-20,10.0535,,,,
49337,2021-05-19,9.9903,,,,
49337,2021-05-18,9.9957,,,,
49337,2021-05-17,10.0057,0.0495,,0.0495,10.0312
49337,2021-05-14,10.0807,,,,
49337,2021-05-13,9.9654,,,,
49337,2021-05-12,9.8889,,,,
49337,2021-05-11,10.0418,,,,
49337,2021-05-10,10.115,,,,
49337,2021-05-07,10.2255,,,,
49337,2021-05-06,10.1514,,,,
49337,2021-05-05,10.1708,,,,
49337,2021-05-04,10.1661,,,,
49337,2021-05-03,10.2202,,,,
49337,2021-04-30,10.201,,,,
49337,2021-04-29,10.2839,,,,
49337,2021-04-28,10.3026,,,,
49337,2021-04-27,10.3257,,,,
49337,2021-04-26,10.3386,,,,
49337,2021-04-23,10.3573,,,,
49337,2021-04-22,10.2779,,,,
49337,2021-04-21,10.326,,,,
49337,2021-04-20,10.3273,,,,
49337,2021-04-19,10.363,,,,
49337,2021-04-16,10.4077,0.0495,,0.0495,10.3906
49337,2021-04-15,10.4401,,,,
49337,2021-04-14,10.3221,,,,
49337,2021-04-13,10.3471,,,,
49337,2021-04-12,10.3249,,,,
